DR_NO,Date Rptd,DATE OCC,TIME OCC,AREANAME,Rpt Dist No,crime type,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status,Status Desc,LOCATION,Cross Street,Latitude,Longitude
10304468,1/8/2020 0:00,1/8/2020 0:00,2230,Southwest,377,battery - simple assault,36,F,B,single family dwelling,strong-arm ,AO,Adult Other,1100 w 39th pl,,34.0141,-118.2978
190101086,1/2/2020 0:00,1/1/2020 0:00,330,Central,163,battery - simple assault,25,M,H,sidewalk,unknown weapon/other weapon,IC,Invest Cont,700 s hill st,,34.0459,-118.2545
200110444,4/14/2020 0:00,2/13/2020 0:00,1200,Central,155,sex offender registrant out of compliance,0,X,X,police facility,,AA,Adult Arrest,200 e 6th st,,34.0448,-118.2474
191501505,1/1/2020 0:00,1/1/2020 0:00,1730,N Hollywood,1543,vandalism - misdeameanor ,76,F,W,multi-unit dwelling ,,IC,Invest Cont,5400 corteen pl,,34.1685,-118.4019
191921269,1/1/2020 0:00,1/1/2020 0:00,415,Mission,1998,vandalism - felony ,31,X,X,beauty supply store,,IC,Invest Cont,14400 titus st,,34.2198,-118.4468
200100501,1/2/2020 0:00,1/1/2020 0:00,30,Central,163,"rape, forcible",25,F,H,night club ,unknown weapon/other weapon,IC,Invest Cont,700 s broadway,,34.0452,-118.2534
200100502,1/2/2020 0:00,1/2/2020 0:00,1315,Central,161,shoplifting - petty theft ,23,M,H,department store,,IC,Invest Cont,700 s figueroa st,,34.0483,-118.2631
200100504,1/4/2020 0:00,1/4/2020 0:00,40,Central,155,other miscellaneous crime,0,X,X,police facility,,IC,Invest Cont,200 e 6th st,,34.0448,-118.2474
200100507,1/4/2020 0:00,1/4/2020 0:00,200,Central,101,"theft-grand excpt,guns,fowl,livestk,prod",23,M,B,multi-unit dwelling ,,IC,Invest Cont,700 bernard st,,34.0677,-118.2398
201710201,6/19/2020 0:00,5/26/2020 0:00,1925,Devonshire,1708,"theft-grand excpt,guns,fowl,livestk,prod",0,X,X,other business,,AO,Adult Other,11900 balboa bl,,34.2864,-118.5021
200100509,1/4/2020 0:00,1/4/2020 0:00,2200,Central,192,burglary from vehicle,29,M,A,street,rock/thrown object,IC,Invest Cont,15th,OLIVE,34.0359,-118.2648
200100510,1/5/2020 0:00,1/5/2020 0:00,955,Central,111,criminal threats - no weapon displayed,35,M,O,parking lot,verbal threat,IC,Invest Cont,800 n alameda st,,34.0615,-118.2412
200100514,1/5/2020 0:00,1/5/2020 0:00,1355,Central,162,"theft-grand excpt,guns,fowl,livestk,prod",41,M,A,hotel,,AA,Adult Arrest,800 s olive st,,34.0452,-118.2569
200100515,1/7/2020 0:00,1/7/2020 0:00,1638,Central,162,arson,0,X,X,department store,unknown weapon/other weapon,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100520,1/8/2020 0:00,1/8/2020 0:00,1805,Central,128,shoplifting - petty theft ,24,F,H,coffee shop ,,IC,Invest Cont,100 s los angeles st,,34.0515,-118.2424
211916029,11/26/2021 0:00,11/30/2020 0:00,730,Mission,1916,intimate partner - simple assault,24,F,H,single family dwelling,strong-arm ,IC,Invest Cont,14200 berg st,,34.3055,-118.4439
201116159,11/29/2020 0:00,11/28/2020 0:00,2018,Northeast,1124,intimate partner - simple assault,34,F,H,single family dwelling,strong-arm ,AO,Adult Other,3200 w avenue 32,,34.1186,-118.245
200506268,2/22/2020 0:00,2/22/2020 0:00,1900,Harbor,511,theft plain - petty ,29,F,W,sidewalk,strong-arm ,IC,Invest Cont,pacific coast,VERMONT,33.7926,-118.3043
210916801,11/22/2021 0:00,11/19/2020 0:00,1200,Van Nuys,932,theft of identity,46,M,B,multi-unit dwelling ,,IC,Invest Cont,14700 friar st,,34.1857,-118.4574
200100535,1/14/2020 0:00,1/14/2020 0:00,1330,Central,152,robbery,66,M,B,alley,folding knife,IC,Invest Cont,7th,HILL,34.0463,-118.255
200914517,9/10/2020 0:00,9/9/2020 0:00,1735,Van Nuys,909,theft of identity,40,M,O,condominium/townhouse,,IC,Invest Cont,13600 leadwell st,,34.2039,-118.4312
200100538,1/14/2020 0:00,1/14/2020 0:00,1730,Central,162,"theft-grand excpt,guns,fowl,livestk,prod",31,M,H,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100543,1/15/2020 0:00,1/15/2020 0:00,1445,Central,162,shoplifting - petty theft ,27,M,B,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
211014725,11/18/2021 0:00,12/28/2020 0:00,1,West Valley,1045,theft of identity,46,F,W,single family dwelling,,IC,Invest Cont,5700 enfield av,,34.1748,-118.5228
200100546,1/15/2020 0:00,1/15/2020 0:00,700,Central,166,"assault with deadly weapon, aggravated assault",62,M,A,multi-unit dwelling ,unknown weapon/other weapon,AO,Adult Other,600 san julian st,,34.0428,-118.2461
211015072,11/29/2021 0:00,11/1/2020 0:00,1200,West Valley,1043,theft of identity,34,F,B,multi-unit dwelling ,,IC,Invest Cont,18600 collins st,,34.1745,-118.5383
201106067,2/15/2020 0:00,2/15/2020 0:00,1830,Northeast,1101,burglary from vehicle,43,M,A,parking lot,,IC,Invest Cont,2700 n vermont av,,34.1179,-118.293
200100552,1/19/2020 0:00,1/19/2020 0:00,2000,Central,111,"assault with deadly weapon, aggravated assault",71,M,W,public restroom/outside*,unknown weapon/other weapon,AA,Adult Arrest,alameda,LOS ANGELES,34.0578,-118.2371
200815333,10/15/2020 0:00,10/15/2020 0:00,2000,West LA,814,battery - simple assault,50,F,W,single family dwelling,strong-arm ,AO,Adult Other,100 s acari dr,,34.0701,-118.4679
200100556,1/20/2020 0:00,1/20/2020 0:00,400,Central,141,"rape, forcible",19,F,B,hotel,strong-arm ,IC,Invest Cont,300 s figueroa st,,34.0542,-118.2566
200100559,1/23/2020 0:00,1/23/2020 0:00,600,Central,111,burglary,51,M,W,hotel,,AO,Adult Other,700 n main st,,34.0583,-118.2378
210816993,11/24/2021 0:00,4/28/2020 0:00,100,West LA,859,theft of identity,27,M,W,single family dwelling,,IC,Invest Cont,8500 cashio st,,34.0507,-118.3762
201111990,7/29/2020 0:00,7/29/2020 0:00,2020,Northeast,1124,intimate partner - simple assault,33,F,H,multi-unit dwelling ,strong-arm ,AO,Adult Other,3200 w avenue 32,,34.1186,-118.245
200117988,9/15/2020 0:00,9/3/2020 0:00,2000,Central,111,vehicle - stolen,0,,,garage/carport,,IC,Invest Cont,500 n figueroa st,,34.0615,-118.247
200100568,1/27/2020 0:00,1/27/2020 0:00,1500,Central,166,criminal threats - no weapon displayed,69,M,B,mta bus,unknown weapon/other weapon,IC,Invest Cont,6th,SAN JULIAN,34.0428,-118.2461
211015073,11/29/2021 0:00,11/1/2020 0:00,1200,West Valley,1043,theft of identity,39,M,B,multi-unit dwelling ,,IC,Invest Cont,18600 collins st,,34.1745,-118.5383
200716724,12/4/2020 0:00,12/3/2020 0:00,811,Wilshire,722,shoplifting - petty theft ,19,M,O,other business,,IC,Invest Cont,8400 beverly bl,,34.0761,-118.3737
200914052,8/27/2020 0:00,8/27/2020 0:00,1255,Van Nuys,935,battery - simple assault,57,F,H,sidewalk,strong-arm ,IC,Invest Cont,14100 sylvan st,,34.1847,-118.44
200100572,1/28/2020 0:00,1/28/2020 0:00,2100,Central,181,vandalism - felony ,0,X,X,street,,IC,Invest Cont,11th st,FIGUEROA                     ST,34.0431,-118.2692
200810920,6/20/2020 0:00,6/20/2020 0:00,1000,West LA,841,battery - simple assault,78,F,W,nursing/convalescent/retirement home,strong-arm ,AO,Adult Other,12100 santa monica bl,,34.0423,-118.4656
200100574,1/30/2020 0:00,1/29/2020 0:00,1930,Central,162,shoplifting - petty theft ,0,M,W,department store,,IC,Invest Cont,700 w 7th st,,34.048,-118.2577
200100576,1/30/2020 0:00,1/30/2020 0:00,55,Central,195,burglary from vehicle,24,M,H,street,,AA,Adult Arrest,18th st,LOS ANGELES                  ST,34.0317,-118.2626
200100578,1/31/2020 0:00,1/30/2020 0:00,2040,Central,163,"assault with deadly weapon, aggravated assault",52,M,H,mini-mart,blunt instrument,AA,Adult Arrest,7th st,BROADWAY,34.0456,-118.254
200100583,2/4/2020 0:00,2/4/2020 0:00,920,Central,146,"assault with deadly weapon, aggravated assault",38,F,H,other business,bottle,AA,Adult Arrest,200 winston st,,34.0467,-118.247
200100584,2/4/2020 0:00,2/4/2020 0:00,1645,Central,162,shoplifting - petty theft ,55,M,W,department store,,IC,Invest Cont,700 s flower st,,34.0487,-118.2588
221412410,6/15/2022 0:00,11/12/2020 0:00,1700,Pacific,1444,theft from motor vehicle - petty ,0,,,street,,IC,Invest Cont,13600 marina point dr,,33.9876,-118.4489
200100587,2/6/2020 0:00,2/6/2020 0:00,1135,Central,163,vandalism - felony ,66,F,A,"vehicle, passenger/truck",,IC,Invest Cont,8th,SPRING,34.0431,-118.2536
200218458,12/11/2020 0:00,12/11/2020 0:00,420,Rampart,233,brandish weapon,34,M,W,parking lot,semi-automatic pistol,AO,Adult Other,2500 beverly bl,,34.0708,-118.2798
201225288,11/26/2020 0:00,11/26/2020 0:00,115,77th Street,1257,intimate partner - aggravated assault,50,F,B,multi-unit dwelling ,club/bat,AA,Adult Arrest,500 w 77th st,,33.9698,-118.2833
